"link" "descr"
Lead the design and development of CRM reporting dashboards; establish templates and processes for regularly sharing out CRM progress and results with key stakeholders
Develop and evolve advanced segmentation strategies for targeted campaigns driving incremental revenues
Requirements
Minimum 5-7 years of relevant experience in Marketing / Customer Analytics
Preferred experience in Retail or E-commerce managing CRM and Loyalty Data
Good interpersonal communication skills and influencing skills
Eagerness to learn and ability to work with limited supervision•
Strong experience in specialized analytics tools and technologies (including, but not limited to):
Azure Databricks, Alteryx
Power BI, Spotfire or other visualization tools
Python, R
Working collaboratively across multiple sets of stakeholders – business SMEs, IT, Data teams, Analytics resources, etc. to deliver on project deliverables and tasks
Statistics / Mathematics: Data Quality Analysis, Data identification, Hypothesis testing, Univariate / Multivariate Analysis, Cluster Analysis, Classification/PCA, Factor Analysis, Linear Modeling, Affinity & Association, Time Series"
"4" "https://www.pracuj.pl/praca/senior-data-scientist-warszawa,oferta,1000443744" "Jakie zadania na Ciebie czekaj¹?
Wspó³tworzenie i realizacja strategii rozwoju narzêdzi do optymalizacji dzia³añ reklamowych w oparciu o najnowsze technologie (Cloud, ML);
Kierowanie inicjatywami rozwojowymi we wspó³pracy z partnerami Dentsu;
Wspó³praca z zespo³ami z innych rynków w ramach projektów miêdzynarodowych realizowanych w sieci Dentsu;
Wspó³praca z konsultantami obs³uguj¹cymi klientów w rozwi¹zywaniu stoj¹cych przed nimi wyzwañ biznesowych;
Zapewnienie wysokiej jakoœci realizowanych projektów analitycznych;
Tworzenie skalowalnej infrastruktury analitycznej;
Szkolenie wspó³pracowników z dzia³u obs³ugi klienta oraz klientów w zakresie oferowanych rozwi¹zañ;
Wsparcie merytoryczne zespo³u analitycznego;
Rozbudowa istniej¹cych zasobów danych.
Pisz do nas jeœli:
Pos³ugujesz siê biegle Python, SQL oraz nie jest Ci obcy R;
Masz doœwiadczenie w analityce biznesowej, wnioskowaniu w oparciu o big data, metodach statystycznych, technikach machine learning, rozwi¹zywaniu problemów biznesowych i technologicznych;,
Znasz ró¿ne metody Data Science: analityki opisowej, optymalizacji, probabilistyczne, testowania hipotez, regresji, prognozowania i uczenia maszynowego;
Masz doœwiadczenie w pracy na Google Cloud Platform;
Posiadaæ co najmniej 5-letnie doœwiadczenie w pracy na styku biznesu, analityki i technologii;
Posiadasz co najmniej 3-letnie doœwiadczenie w pracy jako Data Scientist;
Jesteœ samodzielny i nie boisz siê wyzwañ analitycznych;
Swobodnie pos³ugujesz siê jêzykiem angielskim (w mowie i piœmie).
 Mile widziane, je¿eli:
Masz doœwiadczenie w procesie zarz¹dzania tworzeniem oprogramowania;
Znasz zwinne metodyki pracy.
Co mamy dla Ciebie w zamian?
Pracê w dynamicznie rozwijaj¹cej siê agencji performance marketingu;
Mo¿liwoœæ pracy na projektach kluczowych klientów w bran¿y digital marketingu;
Mo¿liwoœæ rozwoju w ramach grupy Dentsu Aegis Network w Polsce i na œwiecie.
Nowoczesne i komfortowe biuro zgodnie z ide¹ work-life-balance, oferuj¹ce miêdzy innymi takie udogodnienia jak si³ownia i sala fitness, kantyna, punkt opieki dziennej dla dzieci DAY CARE;
Finansowany przez pracodawcê abonament medyczny w Medicover z mo¿liwoœci¹ rozszerzenia o dodatkowe us³ugi;
Finansowane przez pracodawcê ubezpieczenie na ¿ycie w Generali z mo¿liwoœci¹ rozszerzenia o dodatkowe œwiadczenia;
Kartê sportow¹ OK System;
Elastyczne godziny pracy, mo¿liwoœæ korzystania z Home Office."
"5" "https://www.pracuj.pl/praca/starszy-specjalista-ds-data-science-wroclaw,oferta,1000466199" "Obowi¹zki: 
budowa, dokumentowanie, wdra¿anie i monitorowanie modeli predykcyjnych oraz segmentacyjnych optymalizuj¹cych procesy decyzyjne w firmie
pozyskiwanie oraz przygotowywanie danych do analiz i modelowania (ekstrakcja danych z baz, czyszczenie, transformacja, itp)
wspó³praca z klientem wewnêtrznym (przek³adanie wymagañ biznesowych klienta na jêzyk analityczny, prezentowanie wyników analiz)
przeprowadzanie analiz statystycznych oraz tworzenie prezentacji
dba³oœci o przestrzeganie standardów dzia³ania okreœlonych przez firmê
szukania nowych narzêdzi analitycznych oraz rekomendacji tych najbardziej przydatnych
Wymagania:
wykszta³cenie wy¿sze (preferowane kierunki œcis³e: matematyka, informatyka, fizyka)
co najmniej 4 letnie doœwiadczenie zawodowe w obszarze budowy modeli predykcyjnych, segmentacyjnych, statystycznej analizy danych
umiejêtnoœæ samodzielnego poprowadzenia projektu analitycznego
bardzo dobra znajomoœæ programu R
bardzo dobra znajomoœæ MS SQL
gruntowna wiedza z zakresu statystyki, algorytmów uczenia maszynowego
umiejêtnoœæ pracy w zespole
wysokie zdolnoœci analityczne
umiejêtnoœæ samodzielnego wyci¹gania i prezentowania wniosków
umiejêtnoœæ tworzenia eleganckich prezentacji
Dodatkowym atutem bêdzie:
znajomoœæ Pythona (np. biblioteki NumPy, scikit-learn, pandas, matplotlib, keras, NLTK)
znajomoœæ narzêdzi big data (np. Spark)
znajomoœæ metodyk zwinnych (AGILE)
posiadanie w dorobku zawodowym projektów zwi¹zanych z text-miningiem
Co mo¿emy Ci zaoferowaæ?
umowê o pracê
bez watpienia najlepsze imprezy integracyjne
jasn¹ œciê¿kê kariery
sta³e godziny pracy
œwietne bistro
masa¿e
squash
parking dla wszystkich pracowników"
"6" "https://www.pracuj.pl/praca/data-scientist-wroclaw,oferta,1000442132" "For our Client - a global IT company specializing in software development and consultancy services, we are looking for a Data Scientist.

Location: Wroc³aw/Remote

You can work with:
Data Analysis, Data Mining, Predictive analytics, Machine Learning models and deep analysis of collected data,
Production of error-free computer programs and statistical reporting with the appropriate technological stack,
The application of appropriate Data Mining and Predictive analytics methods.
Requirements:
Degree in a quantitive field (Math, Statistics, Computer Science, etc.),
Knowledge and working experience in Applied Statistics and Data Mining,
Practical experience in Advanced Data Analysis and Predictive Analytics,
Strong knowledge in Machine Learning,
Experience with statistical programming software (Python, R, SAS, Matlab, etc.) as a plus,
Fluent English.
Offer:
Possibility to work 100% remotely,
B2B cooperation or contract of employment,
Social package: Multisport card, medical insurance, language classes etc.,
Opportunity to develop skills in a global company, clear career path."
"7" "https://www.pracuj.pl/praca/data-scientist-transaction-monitoring-optimisation-analytics-warszawa,oferta,1000447826" "Szukamy Ciebie jeœli:
£atwo anga¿ujesz siê w dyskusje nad skomplikowanymi procesami, a tak¿e posiadasz ³atwoœæ w wyjaœnianiu ich szerszej publicznoœci,
Posiadasz szerok¹ wiedzê z zakresu relacyjnych baz danych oraz optymalizacji zapytañ,
Znasz platformy takie jak Apache Hadoop oraz Spark,
Posiadasz wiedzê z zakresu segmentacji danych punktowych oraz rastrowych w œrodowisku wolnodostêpnego oprogramowania R (DBSCAN),
Masz doœwiadczenie z jêzykiem Python oraz modu³ami pandas, sklearn, pyspark, numpy,
Masz doœwiadczenie z jêzykiem SQL,
Masz doœwiadczenie w pracy z oprogramowaniem Linux oraz wierszem poleceñ,
Chcesz wspieraæ rozwój oraz sta³e ulepszanie przetwarzania potokowego (Data pipelines),
Masz doœwiadczenie z wnioskowaniem statystycznym,
Masz doœwiadczenie w pracy dla miêdzynarodowych, rozbudowanych organizacji o strukturze macierzowej z kadr¹ kierownicz¹/ programem zarz¹dzania,
Pos³ugujesz siê biegle jêzykiem angielskim w mowie i piœmie.
Dodatkowo zapunktujesz za:
Dobra znajomoœæ jêzyka holenderskiego lub francuskiego,
Doœwiadczenie w optymalizacji procesów Transaction Monitoring w AML w miêdzynarodowych instytucjach finansowych,
Certyfikat AML (ACAMS, ICA).
Doœwiadczenie w miêdzynarodowych instytucjach finansowych,
Posiadanie ekspertyzy z obszaru AML/TM,
Umiejêtnoœæ optymalizacji procesów.
Jak pracujemy
Naszym celem jest wspieranie optymalizacji zadañ powi¹zanych z naszymi programami regulacyjnymi, aby zapewniæ optymalne konfiguracje dla systemów monitoruj¹cych opieraj¹cych siê na regu³ach globalnych przed wejœciem w ¿ycie. Te globalne systemy monitoruj¹ transakcje naszych klientów w ramach wyszkania wskaŸników finansowych lub ekonomicznych przestêpstw. Regulowanie, testowanie oraz optymalizowanie tych systemów jest wymogiem regulacyjnym, gdzie wymagane u¿ycie jest statystycznych, badawczych programów oraz operacji aby móc zapewniæ okreœlone standardy. Po wejœciu systemu opartego na regu³ach w ¿ycie, nale¿na jest jego ci¹g³a kalibracja oparta na analizach tworzonych przez zespó³ analityczny.

Kluczowe elementy roli:
Wspó³praca z innymi osobami na stanowisku Data Sciencist w ramach symulacji systemu opartego na regu³ach oraz wyszukiwanie zdarzeñ, które podlegaj¹ analizie Alert Investigator Team,
Przekazywanie informacji w celu ustanawiania progów, które wspomagaj¹ minimalizacjê iloœci b³êdów statystycznych,
Tworzenie oraz testowanie scenariuszy wspomagaj¹cych rozumienie jak zmiany danych w systemie wp³ywaj¹ na jego efektywnoœæ oraz wydajnoœæ,
Proponowanie dodatkowych zasad wspomagaj¹cych wzrost produktywnych alertów,
Interpretacja oraz analiza problemów statystycznych, a tak¿e zapewnianie zgodnych i poprawnych jakoœciowo danych
Dostosowanie siê do panuj¹cych standardów wobec dokumentacji przy u¿yciu systemów version control oraz code repositories (Git, GitHub, Markdown),
Wykorzystywanie narzêdzi do wizualizacji danych w celu lepszej prezentacji danych dla podmiotów zainteresowanych.
Zakres obowi¹zków
60%
  - Wykonywanie oraz wspieranie aktywnoœci optymalizacyjnych
  40%
  - Tworzenie oraz rozwijanie nowych narzêdzi wspierania procesów optymalizacyjnych
 umowa o pracê
taki rodzaj umowy oferujemy
7:00 - 17:00 (8 godzin dziennie)
w tych godzinach pracujemy
ul. Zajêcza 4, Warszawa
tutaj mieœci siê nasze biuro
W ING Tech Poland dbamy o:"
"8" "https://www.pracuj.pl/praca/business-process-mining-data-scientist-krakow,oferta,1000450612" "What do you need to start?
Knowledge of Celonis technology and Cloud ERP & IT systems
Fluent English
Previous experience in implementing of the Celonis technology
Strong interpersonal and communication skills with ability to build relationship across various stakeholders
Ability to proactive thinking
Proven track of improvements implementations
What duties will help you grow?
Driving end-to-end implementation of the Celonis technology across various customers and connecting Celonis platform with the customer's on-premise/ Cloud ERP & IT systems
Develop data models with the appropriate event and case calculation to support the integration of data of business processes from different systems 
Enhance existing Celonis data models, framework, data flows and Celonis analyses according to the requirements and specifications.
Collaborate with business teams in order to translate demands into technical requirements and solution design followed with documentation.
Building proof-of-concept projects to enable new features and solutions like action engine with Automation and machine learning capabilities; design, plan and execute transformation programs and improvement initiatives for clients
What have we prepared for you?
Our famous atmosphere:
We don't have rigid dress code, but what we do have are awesome communities and world -changing initiatives. There's always someone happy to start a day with a cup of coffee with you - even virtually! We are a big company with unique atmosphere – we make friendships, share important moments, and… simply like each other. 
Personal and professional development:
Development programs, external courses, education & certificates co-funding
NEXT platform with free access to TED talks, Coursera materials, and virtual trainings: Excel, VBA, RPA, customer care and more.
You can flexibly shape your career path thanks to a wide range of internal roles.
A lot of benefits:
Contract for an indefinite period from the beginning of your employment.
Well-being package (private medical care, additional life insurance & StayWell helpline).
Referral bonuses for recommending your friends to Capgemini.
Free coffee, water, milk and tea.
Inspiro Audiobooks & MyBenefit
Offices in great locations, car leasing program, carpooling options and bicycle parking."
"9" "https://www.pracuj.pl/praca/data-scientist-warszawa,oferta,1000469641" "Zakres obowi¹zków:
Rozwi¹zywanie z³o¿onych problemów biznesowych przy u¿yciu zaawansowanych technik modelowania matematycznego i optymalizacji z wykorzystaniem metod ML/AI
Ocena mo¿liwoœci opracowania modeli ML do rozwi¹zywania wskazanych przez interesariuszy problemów biznesowych
Badanie zale¿noœci w du¿ych zbiorach danych i wykorzystanie ich w praktyce do podnoszenia efektywnoœci procesów decyzyjnych oraz do automatyzacji procesów
Przygotowanie, rozwijanie, utrzymanie i optymalizacja efektywnoœci biznesowej modeli analitycznych z wykorzystaniem metod ML/AI
Przygotowywanie dokumentacji do tworzonych modeli ML
Proponowanie oraz udzia³ we wdra¿aniu narzêdzi opartych o rozwi¹zania ML/AI
Bie¿¹ca wspó³praca z deweloperami/in¿ynierami oprogramowania w zakresie wdra¿ania wypracowanych rozwi¹zañ
Oczekujemy:
Wykszta³cenia wy¿szego na kierunku statystyka / matematyka / ekonomia / informatyka
Dobrej znajomoœci jêzyka Python / R w zakresie pozyskiwania wiedzy i wyci¹gania wniosków z du¿ych zbiorów danych
Doœwiadczenia w pos³ugiwaniu siê pakietami oprogramowania statystycznego (Pandas / NumPy / SciPy) oraz znajomoœæ platform uczenia maszynowego (TensorFlow, PyTorch, Scikit Learn)
Doœwiadczenia w utrzymaniu kodu w systemie kontroli Ÿród³a – Git
Praktycznej umiejêtnoœci tworzenia zapytañ do baz danych SQL, NoSQL
Umiejêtnoœci prezentowania wyników analiz w formie zrozumia³ej dla partnerów biznesowych
Zdolnoœci analitycznego myœlenia i rozwi¹zywaniu problemów
Umiejêtnoœci pracy w zespole oraz chêæ dzielenia siê wiedz¹
Entuzjastycznego nastawienia do pracy z danymi oraz chêæ do rozwoju i odnoszenia sukcesów jako specjalista analizy danych
 Mile widziane:
Udokumentowane osi¹gniêcia w realizacji projektów DS/ML (np. Kaggle, Git) (mile widziane)
Doœwiadczenie w wizualizacji/prezentacji danych z wykorzystaniem narzêdzi BI
Doœwiadczenie we wspó³pracy z deweloperami w celu zaprojektowania z³o¿onej, skalowalnej architektury automatyzacji przetwarzania danych
Doœwiadczenie z jêzykiem programowania takim jak Java, C ++
Oferujemy:
Atmosferê wsparcia i ¿yczliwoœæ
Wysokie standardy etyczne
Szkolenia odpowiadaj¹ce potrzebom rozwojowym
Dobr¹ organizacjê pracy
Benefity (prywatn¹ opiekê medyczn¹ dla ciebie i twojej rodziny, pakiet sportowy wraz ze œwiadczeniami na dzia³alnoœæ kulturalno-oœwiatow¹, programy prozdrowotne, treningi sportowe, akcje profilaktyczne)
Zni¿ki oraz karty rabatowe na produkty Naszych Marek"
"10" "https://www.pracuj.pl/praca/starszy-analityk-data-science-warszawa,oferta,1000462671" "Twoje zadania:
Wdra¿anie modeli i narzêdzi analiz ryzyka kredytowego oraz analiz ryzyka wy³udzeñ;
Sta³e rozwijanie wdra¿anych modeli;
Projektowanie, modyfikowanie i optymalizowanie rozwi¹zañ oceny ryzyka kredytowego przy wdra¿aniu nowych produktów;
Testowanie wdra¿anych rozwi¹zañ pod k¹tem poprawnoœci silnika decyzyjnego;
Tworzenie specyfikacji technicznych wdra¿anych rozwi¹zañ;
Tworzenie narzêdzi analitycznych wspieraj¹cych procesy biznesowe (np. sprzeda¿, marketing).
Nasze oczekiwania:
2-3 lata doœwiadczenia na stanowisku o podobnym profilu;
Umiejêtnoœæ programowania w jêzyku Python (preferowane) lub R;
Umiejêtnoœæ przetwarzania danych oraz budowania modeli uczenia maszynowego;
Bardzo dobra znajomoœæ SQL;
Umiejêtnoœæ opisywania procesów analitycznych end2end wraz z wizualizacj¹ wyników;
Doœwiadczenie we wprowadzaniu modeli uczenia maszynowego na produkcjê;
Chêæ sta³ego rozwoju wiedzy i kompetencji;
Nastawienie na wspó³pracê zespo³ow¹.
Dodatkowe atuty:
Doœwiadczenie zawodowe powy¿ej 4 lat;
Doœwiadczenie w kszta³towaniu polityki kredytowej;
Umiejêtnoœæ analizowania rozproszonych danych (wewnêtrznych oraz ogólnodostêpnych) dla efektywnego ich wykorzystania w silnikach decyzyjnych;
Umiejêtnoœæ kreowania efektywnych procesów z zastosowaniem modeli predykcyjnych w procesach decyzyjnych i wyceny ryzyka;
Gotowoœæ do wspó³pracy i wsparcia biznesu.
Oferujemy Ci:
Umowê o pracê lub kontrakt B2B;
Mo¿liwoœci wprowadzania Twoich pomys³ów w ¿ycie;
Szkolenia i certyfikacje;
Mo¿liwoœæ pracy zdalnej;
Ruchomy czas pracy;
Przyjazn¹ atmosferê pracy w dynamicznym œrodowisku."
"11" "https://www.pracuj.pl/praca/senior-data-scientist-warszawa,oferta,1000415656" "POSITION DESCRIPTION:
In our team, you will be responsible for data analysis and applying the machine learning algorithms to support investment decisions. You will use your analytical skills to transform the data into business insights and present them to the top executives of the group as reports, visualizations, data science apps and solution stories. You will create the new valuation methodologies for distressed assets and will take the lead in implementing them as business processes. You will work in a very dynamic investment industry environment and will be exposed to international investment projects. You will participate in the investment process for distressed assets and contribute to its success.
KEY REQUIREMENTS:
3-5 years of practical experience in applied analytics and machine learning
Bachelor/Master’s degree or equivalent in finance, statistics, economics, mathematics or similar discipline and/or postgraduate qualification in finance (CFA)
Excellent technical skills in R (data crunching / modelling / visualization / markdown / shiny) and strong modelling capabilities in Excel (DCF models)
Experience in underwriting and management of non-performing loans
Excellent interpersonal skills
Fluency in English both spoken and written
Strong written and verbal communication skills
Good time management skills
Located in Warsaw
WE EXPECT YOU TO BE:
A Result oriented person
A quick learner and extremely accurate and highly numerate
Able to work in a team and cooperate with others, but able to work individually as well
Prepared for a cross border cooperation
Self-motivated, enthusiastic and keen to learn and develop yourself
WE OFFER:
Very interesting modelling challenges
A career path in the company’s group structures
Competitive remuneration and training packages
Private healthcare & social benefits"
"12" "https://www.pracuj.pl/praca/data-scientist-warszawa,oferta,1000426503" "Oferujemy:
Obecnie #NNpracujeZdomu, a nasze biuro znajdujê siê na zielonym Powiœlu
Ask Henry - personalny asystent do za³atwiania osobistych spraw wymagaj¹cych czasu
Zdalne wprowadzenie do pracy
Elastyczny czas pracy
Sekcje sportowe i fitness
online oraz parking rowerowy
Platforma Motivizer z benefitami dopasowanymi do Twoich oczekiwañ
Wirtualne zajêcia dla dzieci (animacje, programowanie, gimnastyka)
Webinary, szkolenia, webcasty – wspólnie uczymy siê nowej rzeczywistoœci
Medicover, badania profilaktyczne, wsparcie psychologa, ubezpieczenie grupowe
Nasi Analitycy Danych przeciêtnie „wytwarzaj¹” 1,7 MB informacji na sekundê. Te¿ masz tak¹ supermoc? Œmigaj do nas! Praca na du¿ych, czêsto nieustrukturyzowanych, zbiorach danych to nasza specjalnoœæ. Chcemy tworzyæ innowacyjne i najefektowniejsze rozwi¹zanie napêdzaj¹ce produkty i dostarczaj¹ce najwiêksz¹ wartoœæ dla naszych klientów. Myœlimy BIG, nie tylko DATA.
Do Twoich zadañ nale¿eæ bêdzie:
Praca na du¿ych zbiorach danych - analiza, wyci¹ganie wniosków oraz wizualizacja wyników
Analiza zachowañ klientów i budowanie modeli predykcyjnych, statystycznych i segmentacyjnych w celu dopasowania optymalnych œcie¿ek obs³ugi klientów
Rozwi¹zywanie praktycznych i teoretycznych problemów, a tak¿e zag³êbianie siê czasem w prace twórcz¹ i kreatywn¹ <U+0001F60A>
Przygotowywanie raportów monitoruj¹cych procesy obs³ugi Klientów (KPI, SLA)
Wspó³praca z hurtownia danych, IT oraz odbiorcami raportów w celu tworzenia jak najefektywniejszego œrodowiska raportowego i rozwoju istniej¹cych procesów i narzêdzi raportowych
Tworzenie prostych narzêdzi wspieraj¹cych procesy obs³ugowe.
 Taki napiêty grafik, ¿e nie ma czasu na wk³adanie wyników prac „do szuflady”, trzeba je od razu wdra¿aæ <U+0001F609> A wszystko po to aby dane o naszych klientach przynosi³y jak najwiêksz¹ wartoœæ biznesow¹ i najwiêksz¹ u¿ytecznoœæ oraz satysfakcjê dla samych Klientów.
Nasza oferta jest dla Ciebie, jeœli:
Myœlisz w kategorii BIG, nie tylko DATA.
Posiadasz umiejêtnoœæ analitycznego myœlenia, ³¹czenia faktów, klarownej prezentacji w³asnych wniosków i potrafisz przekonaæ do swojego rozwi¹zania
Pracujesz z narzêdziami Business Intelligence (SSRS, Power BI, SAS) i znasz algorytmy uczenia maszynowego
Posiadasz doœwiadczenie w budowaniu modeli/rozwi¹zañ analitycznych i predykcyjnych w Pythonie i R
£atwo nawi¹zujesz kontakty, budujesz relacje i lubisz pracowaæ w zespole
Potrafisz wspó³pracowaæ z interesariuszami, aby zrozumieæ ich potrzeby i korelacje biznesowe analizowanych danych
Posiadasz wykszta³cenie wy¿sze ……… lub jesteœ w trakcie studiów (doprecyzujmy) i masz angielski na poziomie komunikatywnym
I na codzieñ oddychasz SQL’em, a w excelu planujesz nawet urlop <U+0001F609>"
"13" "https://www.pracuj.pl/praca/data-science-consultant-krakow,oferta,1000441038" "DESCRIPTION:
We are looking for an experienced Data Science Consultant who is willing to join us in the creation of comprehensive offerings and building expertise in the field of data analytics.
Our Customers are leading industrial and manufacturing companies in Europe. The aim of the initiative is to is analyze the market, work with bright talents on creating an offering, talk to our customers, define their needs, and come up with complex solutions to address those. 

Join our team and contribute to the digital transformation of key industries globally.
 RESPONSIBILITIES:
Designing, developing, and architect services and offerings for the industrial domain customers
Contributing to cutting-edge R&D initiatives including service integration with emerging frameworks and platforms
Assisting with the technical resolution of issues on mission-critical production systems
Thinking out of the box to come up with solutions that scale, are fault-tolerant, easy to grasp, and elegant
Working independently and as part of a team developing cutting-edge data analytics, machine learning algorithms, and deep learning algorithms on a big data platform
REQUIREMENTS:
Experience with data exploration, data cleaning, implementation of advanced statistical and machine learning algorithms (e.g., time-series analysis and forecasting, clustering, and advanced classification and regression techniques such as decision trees, neural networks, deep learning, and ensemble algorithms), as well as rigorous model validation and evaluation
2-5+ years of experience with design and management of relational (SQL) and data warehouse paradigms; familiarity with Google Cloud Platform is a plus
Fluency in at least 1 of the following programming languages: Python, Java, R, C, C++, or SAS
Knowledge of Spark, Cassandra, or Hadoop
Master or Ph.D. in computer science, statistics, electrical engineering, operations research, mathematics or other quantitative majors will be a plus
Teamwork & collaboration skills to work across organizations and lead cross-functional teams
Communication & stakeholder management skills
Problem-solving skills to develop quick yet sound solutions to resolve complex issues"
"14" "https://www.pracuj.pl/praca/data-scientist-warszawa,oferta,1000415015" "The person we are looking for
For our Data Science team based in Warsaw, we are looking for an experienced Data Scientist to take a leading role within the Machine Learning and AI team, focusing mainly on delivering complex data solutions to our international clients in AdTech. This role offers also significant opportunities to work on various Data Science projects, using modern cutting edge technologies.
Your future role is:
Design and build Machine Learning models efficiently and reliably for different purposes (e.g. predictions, growth analysis, and multi-dimensional analysis) using Google Cloud and Big Data technologies 
Independent implementation of Machine Learning algorithms and applications 
Build dataset features which allow ML models to execute 
Participation in building AI applications and full stuck solutions
Preparation of Data Science recommendations and solution architectures 
Maintain the data pipeline, build quality controls, and communicate data functionality and principles to the Big Data team 
Establish solid design and best data practice for cross functional teams as well as non-technical people 
Collecting business requirements and planning the tasks of the team working at Agile / Scrum 
You’ll be responsible for a team which builds software that makes a positive impact on the world :)
Job requirements:
Minimum 2 year of commercial experience in Machine Learning area (Predictive modeling) or Data Engineering or Software development 
Experience in designing and implementation of Machine Learning solutions using Python (pandas/scikit/keras/pytorch/tensorflow) 
Knowledge of Machine Learning deployment process 
Experience in full stack application deployment 
Significant expertise in writing, analysing and debugging SQL queries 
Experience working with sophisticated data pipelines e.g. using GCP tech stack, knowledge of Airflow, DBT, Dataflow, etc.
Minimum bachelor's degree in Computer Science, Mathematics, Physics or related fields 
Very good knowledge of English (min. B2 level - able to work in multinational environment) 
Passionate and self-motivated about technologies in the Data Science and Big Data area   
Additional attitudes: 
Experience in the Big Data technologies (Google Cloud Big Query, Amazon Redshift, Snowflake) 
Experience in Deep Learning modeling 
Working experience with Spark, Hadoop or NoSQL databases
What we offer:
Work with experts from Machine Learning, AI and Big Data domains 
Projects for multinational companies from top industries (Banking, Oil & Gas, Gaming, Airlines, MarTech, Retail, Manufacturing) 
Real opportunities for growth and promotion - clear and individual career paths 
Development of skills using top new technologies in area of Machine Learning and Big Data 
Flexible working hours and the possibility to work remotely 
Work in a team of talented Machine Learning and Big Data consultants 
Personal development budget (we will finance the courses needed to achieve your career goals) 
Any form of employment and attractive remuneration depending on your skills"
